"","id","lat","lon","sitename","filename","elevation","country","gcmd_location","author","pub_year","title","journal","archive_type","min_age","max_age","proxy","num_record","num_control","url"
"11",11,61.42,8.67,"Brurskardstjorni","brurskardstjorni.Velle.2005.lpd",1309,"Europe>Northern Europe>Scandinavia>Norway","Europe>Northern Europe>Scandinavia>Norway","Velle, Gaute; Brooks, Stephen J.; Birks, H.J.B.; Willassen, Endre",2005,"Chironomids as a tool for inferring Holocene climate: An assessment based on six sites in southern Scandinavia","Quaternary Science Reviews","LakeSediment",-27,10900.42,"chironomid",61,13,"www.ncdc.noaa.gov/paleo/study/15444"
"12",12,61.68,-130.65,"Candelabra Lake","CandelabraLake.Cwynar.1995.lpd",1040,"North America>Canada>Yukon Territory","North America>Canada>Yukon Territory","Cwynar, Les C.; Spear, Ray W.",1995,"Paleovegetation and paleoclimatic changes in the Yukon at 6 ka BP","GÌ©ographie physique et Quaternaire","LakeSediment",352,12567,"pollen",56,17,"www.ncdc.noaa.gov/paleo/study/15444"
"13",13,67.95,32.48,"Chuna Lake","Chuna.Jones.2005.lpd",475,"Europe>Eastern Europe>Russian Federation","Europe>Eastern Europe>Russian Federation","Solovieva, Nadia; Tarasov, Pavel E.; MacDonald, Glen",2005,"Quantitative reconstruction of Holocene climate from the Chuna Lake pollen record, Kola Peninsula, northwest Russia","The Holocene","LakeSediment",9.5,9300,NA,0,13,"www.ncdc.noaa.gov/paleo/study/15444"
"14",14,60.53,-145.45,"Corser Bog","Corser.Nichols.2014.lpd",70,"North America>United States Of America>Alaska","North America>United States Of America>Alaska","Nichols, Jonathan E; Peteet, Dorothy M; Moy, Christopher M; Castaneda, Isla S; McGeachy, Alicia; Perez, Max",2014,"Impacts of climate and vegetation change on carbon accumulation in a south-central Alaskan peatland assessed with novel organic geochemical techniques","The Holocene","Peat",103,11116,"GDGT",36,13,"www.ncdc.noaa.gov/paleo/study/15444"
"15",15,69.17,20.72,"Dalmutladdo","Dalmutladdo.Bjune.2004.lpd",355,"Europe>Northern Europe>Scandinavia>Norway","Europe>Northern Europe>Scandinavia>Norway","Bjune, Anne; Birks, H. J. B.; Sepp _, Heikki",2004,"Holocene vegetation and climate history on a continental-oceanic transect in northern Fennoscandia based on pollen and plant macrofossils","Boreas","LakeSediment",0,10514,"pollen",72,17,"www.ncdc.noaa.gov/paleo/study/15444"
"16",16,71.87,127.07,"Dolgoe Lake","DolgoeLake.Wolfe.2000.lpd",10,"Europe>Eastern Europe>Russian Federation","Europe>Eastern Europe>Russian Federation","Wolfe, Brent B.; Edwards, Thomas W. D.; Aravena, Ramon; Forman, Steven L.; Warner, Barry G.; Velichko, Andrei A.; MacDonald, Glen M.",2000,"Holocene paleohydrology and paleoclimate at treeline, north-central Russia, inferred from oxygen isotope records in lake sediment cellulose","Quaternary Research","LakeSediment",11.4,9952.1,NA,0,13,"www.ncdc.noaa.gov/paleo/study/15444"
"17",17,-77.3167,39.67,"Dome Fuji","DomeF.Uemura.2018.lpd",3810,"Antarctica","Antarctica","Parrenin, F.; Dreyfus, G.; Durand, G.; Fujita, S.; Gagliardini, O.; Gillet, F.; Jouzel, J.; Kawamura, K.; Lhomme, N.; Masson-Delmotte, V.; Ritz, C.; Schwander, J.; Shoji, H.; Uemura, R.; Watanabe, O.; Yoshida, N.",2007,"1-D-ice flow modelling at EPICA Dome C and Dome Fuji, East Antarctica","Climate of the Past","GlacierIce",-45,129960.07,"d18O",7536,NA,"www.ncdc.noaa.gov/paleo/study/23371"
"18",18,26.946,-91.35,"EN32_PC6","EN32_PC6.Flower.2004.lpd",-2280,"Atlantic Ocean>North Atlantic Ocean>Gulf Of Mexico","Atlantic Ocean>North Atlantic Ocean>Gulf Of Mexico","Flower, Benjamin P.; Hastings, David W.; Hill, Heather W.; Quinn, Terrence M.",2004,"Phasing of deglacial warming and Laurentide Ice Sheet meltwater in the Gulf of Mexico","Geology","MarineSediment",8330,22210,"Mg/Ca",97,5,"this compilation"
"19",19,-2.225,156.998,"ERDC_092BX","ERDC_092BX.Palmer.2003.lpd",-1598,"Pacific Ocean>South Pacific Ocean","Pacific Ocean>South Pacific Ocean","Palmer, M. R.",2003,"A 23,000-year record of surface water pH and PCO2 in the western equatorial Pacific Ocean","Science","MarineSediment",1100,23200,"Mg/Ca",28,5,"this compilation"
"20",20,62.55,-153.63,"Farewell Lake","Farewell.Hu.1998.lpd",230,"North America>United States Of America>Alaska","North America>United States Of America>Alaska","Hu, Feng Sheng; Ito, Emi; Brubaker, Linda B.; Anderson, Patricia M.",1998,"Ostracode geochemical record of Holocene climatic change and implications for vegetational response in the northwestern Alaska Range","Quaternary Research","LakeSediment",-49.971,12517.308,NA,0,15,"www.ncdc.noaa.gov/paleo/study/15444"
"21",21,59.67,7.55,"Flotatjonn","Flotatjonn.Seppa.2009.lpd",890,"Europe>Northern Europe>Scandinavia>Norway","Europe>Northern Europe>Scandinavia>Norway","Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,"Last nine-thousand years of temperature variability in northern Europe","Climate of the Past","LakeSediment",-43.5,9020.71,"pollen",43,15,"www.ncdc.noaa.gov/paleo/study/15444"
"22",22,68.47,17.75,"Gammelheimvatnet","Gammelheimvatnet.Seppa.2009.lpd",290,"Europe>Northern Europe>Scandinavia>Norway","Europe>Northern Europe>Scandinavia>Norway","Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,"Last nine-thousand years of temperature variability in northern Europe","Climate of the Past","LakeSediment",-42.16,8968.1,"pollen",74,15,"www.ncdc.noaa.gov/paleo/study/15444"
"23",23,-7.1135,104.6425,"GeoB10042_1","GeoB10042_1.Setiawan.2015.lpd",-2460,"Indian Ocean","Indian Ocean","Setiawan, Riza Yuliratno; Mohtadi, Mahyar; Southon, John; Groeneveld, Jeroen; Steinke, Stephan; Hebbeln, Dierk",2015,"The consequences of opening the Sunda Strait on the hydrography of the eastern tropical Indian Ocean","Paleoceanography","MarineSediment",4200,39020,"Mg/Ca",106,9,"10.1594/PANGAEA.858590"
"24",24,-7.3092,105.0587,"GeoB10043_3","GeoB10043_3.Setiawan.2015.lpd",-2172,"Indian Ocean","Indian Ocean","Setiawan, Riza Yuliratno; Mohtadi, Mahyar; Southon, John; Groeneveld, Jeroen; Steinke, Stephan; Hebbeln, Dierk",2015,"The consequences of opening the Sunda Strait on the hydrography of the eastern tropical Indian Ocean","Paleoceanography","MarineSediment",210,33630,"Mg/Ca",69,8,"10.1594/PANGAEA.858594"
"25",25,27.714,34.6817,"GeoB5844_2","GeoB5844_2.Arz.2003.lpd",-963,"Indian Ocean>Red Sea","Indian Ocean>Red Sea","Arz, Helge W.; P _tzold, J _rgen; M _ller, Peter J.; Moammar, Mustafa O.",2003,"Influence of Northern Hemisphere climate and global sea level rise on the restricted Red Sea marine environment during Termination I","Paleoceanography","MarineSediment",516,9948,"alkenone",88,5,"10.1594/PANGAEA.736623"
"26",26,-5.5883,11.2217,"GeoB6518_1","GeoB6518_1.Schefu.2005.lpd",-962,"Atlantic Ocean>South Atlantic Ocean","Atlantic Ocean>South Atlantic Ocean","Schefu  , Enno; Schouten, Stefan; Schneider, Ralph R.",2005,"Climatic controls on central African hydrology during the past 20,000 years","Nature","MarineSediment",30,19498,"alkenone",114,5,"10.1594/PANGAEA.738200"
"27",27,31.652,34.0667,"GeoB7702_3","GeoB7702_3.Castaneda.2010.lpd",-562,"Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea","Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea","Castaneda, Isla S.; Schefu  , Enno; P _tzold, J _rgen; Sinninghe DamstÌ©, Jaap S.; Weldeab, Syee; Schouten, Stefan",2010,"Millennial-scale sea surface temperature changes in the eastern Mediterranean (Nile River Delta region) over the last 27,000 years","Paleoceanography","MarineSediment",142,26617,"GDGT",115,5,"10.1594/PANGAEA.736918"
"28",28,37.999,-31.1283,"GEOFAR_KF22","GEOFAR_KF16_MgCa.Repschlager.2016.lpd",-3050,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean","Schwab, C.; Kinkel, H.; Weinelt, M.; Repschl _ger, J.",2012,"Coccolithophore paleoproductivity and ecology response to deglacial and Holocene changes in the Azores Current system","Paleoceanography","MarineSediment",524,11258,"Mg/Ca",98,8,"10.1594/PANGAEA.824858;10.1594/PANGAEA.868105"
"29",29,72.16,-155.51,"GGC19","GGC19.Farmer.2011.lpd",-369,"Arctic Ocean","Arctic Ocean","Farmer, Jesse R.; Cronin, Thomas M.; de Vernal, Anne; Dwyer, Gary S.; Keigwin, Lloyd D.; Thunell, Robert C.",2011,"Western Arctic Ocean temperature variability during the last 8000 years","Geophysical Research Letters","MarineSediment",52,6660,NA,88,17,"www.ncdc.noaa.gov/paleo/study/15444"
"30",30,-32.75,-72.0333,"GIK17748","GIK17748-2.Kim.2002.lpd",-2545,"Pacific Ocean>South Pacific Ocean","Pacific Ocean>South Pacific Ocean","Kim, Jung-Hyun; Schneider, Ralph R.; Hebbeln, Dierk; M _ller, Peter J.; Wefer, Gerold",2002,"Last deglacial sea-surface temperature evolution in the Southeast Pacific compared to climate changes on the South American continent","Quaternary Science Reviews","MarineSediment",1080,16070,"alkenone",54,13,"this compilation"
"31",31,5.663,110.6615,"GIK18287_3","GIK18287_3.Kienast.2001.lpd",-598,"Pacific Ocean>Western Pacific Ocean>South China Sea","Pacific Ocean>Western Pacific Ocean>South China Sea","Kienast, M.",2001,"Synchronous tropical South China Sea SST change and Greenland warming during deglaciation","Science","MarineSediment",3389,16507,"alkenone",119,5,"www.ncdc.noaa.gov/paleo/study/2569"
"32",32,75,14,"GIK23258","GIK23258.Sarnthein.2003.lpd",-1768,"Atlantic Ocean>North Atlantic Ocean>Norwegian Sea","Atlantic Ocean>North Atlantic Ocean>Norwegian Sea","Sarnthein, M.; Kreveld, S.; Erlenkeuser, H.; Grootes, P. M.; Kucera, M.; Pflaumann, U.; Schulz, M.",2008,"Centennial-to-millennial-scale periodicities of Holocene climate and sediment injections off the western Barents shelf, 75  N","Boreas","MarineSediment",698,13987,"foraminifera",285,17,"www.ncdc.noaa.gov/paleo/study/15444; 10.1594/PANGAEA.114683"
"33",33,60.08,15.83,"Gilltjarnen","Gilltjarnen.Antonsson.2006.lpd",172,"Europe>Northern Europe>Scandinavia>Sweden","Europe>Northern Europe>Scandinavia>Sweden","Antonsson, Karin; Brooks, Stephen J.; Sepp _, Heikki; Telford, Richard J.; Birks, H. John B.",2006,"Quantitative palaeotemperature records inferred from fossil pollen and chironomid assemblages from Lake Gilltj _rnen, northern central Sweden","Journal of Quaternary Science","LakeSediment",-49.974,10706.78,"chironomid",57,13,"www.ncdc.noaa.gov/paleo/study/15444"
"34",34,72.6,-38.5,"GISP2","GISP2.Kobashi.2017.lpd",3200,"North America>Greenland","North America>Greenland","Kobashi, Takuro; Severinghaus, Jeffrey P.; Kawamura, Kenji",2008,"Argon and nitrogen isotopes of trapped air in the GISP2 ice core during the Holocene epoch (0   11,500 B.P.): Methodology and implications for gas loss processes","Geochimica et Cosmochimica Acta","GlacierIce",-43,11512,"gas",11556,NA,"www.ncdc.noaa.gov/paleo/study/22057"
"35",35,59.83,16.53,"Gloppsjon","Gloppsjon.Seppa.2009.lpd",198,"Europe>Northern Europe>Scandinavia>Sweden","Europe>Northern Europe>Scandinavia>Sweden","Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,"Last nine-thousand years of temperature variability in northern Europe","Climate of the Past","LakeSediment",0,8971.748,"pollen",73,13,"www.ncdc.noaa.gov/paleo/study/15444"
"36",36,71.04,28.17,"Gunnarsfjorden","Gunnarsfjorden.Allen.2007.lpd",78,"Europe>Northern Europe>Scandinavia>Norway","Europe>Northern Europe>Scandinavia>Norway","Allen, Judy R.M.; Long, Antony J.; Ottley, Chris J.; Graham Pearson, D.; Huntley, Brian",2007,"Holocene climate variability in northernmost Europe","Quaternary Science Reviews","LakeSediment",-39.756,9124.107,"pollen",104,13,"www.ncdc.noaa.gov/paleo/study/15444"
"37",37,60.03,-129.02,"Hail Lake","Hail.Cwynar.1995.lpd",690,"North America>Canada>Yukon Territory","North America>Canada>Yukon Territory","Cwynar, Les C.; Spear, Ray W.",1995,"Paleovegetation and paleoclimatic changes in the Yukon at 6 ka BP","GÌ©ographie physique et Quaternaire","LakeSediment",67,11334,"pollen",84,13,"www.ncdc.noaa.gov/paleo/study/15444"
"38",38,61.5,-146.2,"Hallet Lake","Hallet.McKay.2009.lpd",1128,"North America>United States Of America>Alaska","North America>United States Of America>Alaska","McKay, Nicholas P.; Kaufman, Darrell S.",2009,"Holocene climate and glacier variability at Hallet and Greyling Lakes, Chugach Mountains, south-central Alaska","Journal of Paleolimnology","LakeSediment",-52,7913,NA,NA,13,"www.ncdc.noaa.gov/paleo/study/15444"
"39",39,60.83,10.88,"Haugtjern","Haugtjern.Eide.2009.lpd",338,"Europe>Northern Europe>Scandinavia>Norway","Europe>Northern Europe>Scandinavia>Norway","Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,"Last nine-thousand years of temperature variability in northern Europe","Climate of the Past","LakeSediment",-23,8959,"pollen",67,13,"www.ncdc.noaa.gov/paleo/study/15444"
"40",40,76.433,-18.767,"Hjort","Hjort.Schmidt.2011.lpd",114,"North America>Greenland","North America>Greenland","Schmidt, Steffi; Wagner, Bernd; Heiri, Oliver; Klug, Martin; Bennike, Ole; Melles, Martin",2011,"Chironomids as indicators of the Holocene climatic and environmental history of two lakes in northeast Greenland","Boreas","LakeSediment",488,9773,NA,0,16,"www.ncdc.noaa.gov/paleo/study/15444"
"41",41,81.6214,-63.2578,"HLY03_05GC","HLY03_05GC.Mohtadi.2008.lpd",-797,"Arctic Ocean","Arctic Ocean","Mohtadi, Mahyar; Rossel, Pamela; Lange, Carina B.; Pantoja, Silvio; BÌ¦ning, Philipp; Repeta, Daniel J.; Grunwald, Maik; Lamy, Frank; Hebbeln, Dierk; Brumsack, Hans-J _rgen",2008,"Deglacial pattern of circulation and marine productivity in the upwelling region off central-south Chile","Earth and Planetary Science Letters","MarineSediment",-10.563,10277,"d18O",38,5,"10.1594/PANGAEA.733242"
"42",42,59.83,6.98,"Holebudalen","Holebudalen.Seppa.2009.lpd",1144,"Europe>Northern Europe>Scandinavia>Norway","Europe>Northern Europe>Scandinavia>Norway","Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,"Last nine-thousand years of temperature variability in northern Europe","Climate of the Past","LakeSediment",-9.54,8928.89,NA,66,19,"www.ncdc.noaa.gov/paleo/study/15444"
"43",43,64.63,-138.4,"Honeymoon","Honeymoon.Cwynar.1991.lpd",1160,"North America>Canada>Yukon Territory","North America>Canada>Yukon Territory","Cwynar, Les C.; Spear, Ray W.",1991,"Reversion of forest to tundra in the central Yukon","Ecology","LakeSediment",17,10795,"pollen",71,17,"10.21233/N33Q7V"
"44",44,42.9783,-55.2483,"HU73_031_7","HU73_031_7.Keigwin.1995.lpd",-4055,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean","Keigwin, L. D.; Jones, G. A.",1995,"The marine record of deglaciation from the continental margin off Nova Scotia","Paleoceanography","MarineSediment",770,12400,"d18O",60,5,"10.1594/PANGAEA.51942"
"45",45,54.6165,-56.1767,"HU87033_87017PC","HU87033_87017PC.Andrews.1999.lpd",-514,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean","Andrews, J. T.; Keigwin, L.; Hall, F.; Jennings, Anne E.",1999,"Abrupt deglaciation events and Holocene palaeoceanography from high-resolution cores, Cartwright Saddle, Labrador Shelf, Canada","Journal of Quaternary Science","MarineSediment",340,11522,"d18O",52,5,"www.ncdc.noaa.gov/paleo/study/5919"
"46",46,54.7952,-56.0583,"HU87033_87018PC","HU87033_87018PC.Andrews.1999.lpd",-460,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean","Andrews, J. T.; Keigwin, L.; Hall, F.; Jennings, Anne E.",1999,"Abrupt deglaciation events and Holocene palaeoceanography from high-resolution cores, Cartwright Saddle, Labrador Shelf, Canada","Journal of Quaternary Science","MarineSediment",280,9008,"d18O",19,5,"www.ncdc.noaa.gov/paleo/study/5919"
"47",47,58.2098,-48.3733,"HU90_013_013","HU90_013_013.Hillaire-Marcel.1994.lpd",-3380,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean","Hillaire-Marcel, C.; Vernal, A. de; Bilodeau, G.; Wu, G.",1994,"Isotope stratigraphy, sedimentation rates, deep circulation, and carbonate events in the Labrador Sea during the last \textbackslashtextbackslashtextasciitilde 200 ka","Canadian Journal of Earth Sciences","MarineSediment",1782,50174,"d18O",168,5,"10.1594/PANGAEA.106533"
"48",48,61,-45.43,"Igaliku","Igaliku.Massa.2012.lpd",30,"North America>Greenland","North America>Greenland","Massa, Charly; Perren, Bianca B.; Gauthier,   milie; Bichet, Vincent; Petit, Christophe; Richard, HervÌ©",2012,"A multiproxy evaluation of Holocene environmental change from Lake Igaliku, south Greenland","Journal of Paleolimnology","LakeSediment",-51.2,9527,NA,0,13,"www.ncdc.noaa.gov/paleo/study/15444"
"49",49,57.838,8.704,"IOW225514","IOW225514BAY.Emeis.2003.lpd",-420,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean","Emeis, Kay-Christian; Struck, Ulrich; Blanz, Thomas; Kohly, Alexander; Vo _, Maren",2003,"Salinity changes in the central Baltic Sea (NW Europe) over the last 10000 years","The Holocene","MarineSediment",450,6430,"alkenone",84,5,"10.1594/PANGAEA.738458"
"50",50,57.667,7.091,"IOW225517","IOW225517BAY.Emeis.2003.lpd",-293,"Atlantic Ocean>North Atlantic Ocean>North Sea","Atlantic Ocean>North Atlantic Ocean>North Sea","Emeis, Kay-Christian; Struck, Ulrich; Blanz, Thomas; Kohly, Alexander; Vo _, Maren",2003,"Salinity changes in the central Baltic Sea (NW Europe) over the last 10000 years","The Holocene","MarineSediment",1820,11390,"alkenone",80,5,"10.1594/PANGAEA.438452"
"51",51,59.77,7.43,"Isbenttjonn","Isbenttjonn.Seppa.2009.lpd",787,"Europe>Northern Europe>Scandinavia>Norway","Europe>Northern Europe>Scandinavia>Norway","Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,"Last nine-thousand years of temperature variability in northern Europe","Climate of the Past","LakeSediment",-43.5,8890.1,"pollen",58,13,"www.ncdc.noaa.gov/paleo/study/15444"
"52",52,69.9,-95.07,"JR01","JR01.Fortin.2017.lpd",120,"North America>Canada>Nunavut","North America>Canada>Nunavut","Zabenskie, Susan; Gajewski, Konrad",2007,"Post-glacial climatic change on Boothia Peninsula, Nunavut, Canada","Quaternary Research","LakeSediment",-49,6956,"pollen",57,7,"www.ncdc.noaa.gov/paleo/study/15444"
"53",53,-53.013,-58.0405,"JR244_GC528","JR244_GC528.Roberts.2016.lpd",-598,"Atlantic Ocean>South Atlantic Ocean","Atlantic Ocean>South Atlantic Ocean","Roberts, Jenny; Gottschalk, Julia; Skinner, Luke C.; Peck, Victoria L.; Kender, Sev; Elderfield, Henry; Waelbroeck, Claire; V  zquez Riveiros, Natalia; Hodell, David A.",2016,"Evolution of South Atlantic density and chemical stratification across the last deglaciation","Proceedings of the National Academy of Sciences","MarineSediment",1000,25440,"alkenone",87,5,"www.ncdc.noaa.gov/paleo/study/2569"
"54",54,66.5996,-17.5766,"JR51GC_35","JR51GC_35.Bendle.2007.lpd",-420,"Arctic Ocean","Arctic Ocean","Bendle, James A.P.; Rosell-MelÌ©, Antoni",2007,"High-resolution alkenone sea surface temperature variability on the north Icelandic Shelf: Implications for Nordic Seas palaeoclimatic development during the Holocene","The Holocene","MarineSediment",61.87,10170.63,"alkenone",116,5,"10.1594/PANGAEA.738458"
"55",55,58.7347,-65.9342,"K2","K2.Fallu.2005.lpd",167,"North America>Canada>Quebec","North America>Canada>Quebec","Fallu, Marie-AndrÌ©e; Pienitz, Reinhard; Walker, Ian R.; Lavoie, Martin",2005,"Paleolimnology of a shrub-tundra lake and response of aquatic and terrestrial indicators to climatic change in arctic QuÌ©bec, Canada","Palaeogeography, Palaeoclimatology, Palaeoecology","LakeSediment",-48,6717.176,"chironomid",99,13,"www.ncdc.noaa.gov/paleo/study/15444"
"56",56,61.8211,16.4044,"Klotjaernen","klotjarnen.Seppa.2009.lpd",235,"Europe>Northern Europe>Scandinavia>Sweden","Europe>Northern Europe>Scandinavia>Sweden","Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,"Last nine-thousand years of temperature variability in northern Europe","Climate of the Past","LakeSediment",-48.188,8942.028,"pollen",104,13,"www.ncdc.noaa.gov/paleo/study/15444"
"57",57,-27.5267,-45.5333,"KNR159_5_36GGC","KNR159_5_36GGC.Carlson.2008.lpd",-1268,"Atlantic Ocean>South Atlantic Ocean","Atlantic Ocean>South Atlantic Ocean","Carlson, Anders E.; Oppo, Delia W.; Came, Rosemarie E.; LeGrande, Allegra N.; Keigwin, Lloyd D.; Curry, William B.",2008,"Subtropical Atlantic salinity variability and Atlantic meridional circulation during the last deglaciation","Geology","MarineSediment",1110,22840,"Mg/Ca",50,5,"www.ncdc.noaa.gov/paleo/study/11196"
"58",58,56.2333,-27.65,"KNR166_14_11JPC","KNR166_14_11JPC.Elmore.2015.lpd",-2707,"Atlantic Ocean>North Atlantic Ocean","Atlantic Ocean>North Atlantic Ocean","Elmore, A.C.; Wright, J.D.; Southon, J.",2015,"Continued meltwater influence on North Atlantic Deep Water instabilities during the early Holocene","Marine Geology","MarineSediment",665,13397,"d18O",122,5,"www.ncdc.noaa.gov/paleo/study/17536"
"59",59,68.8,35.32,"KP2","KP2.Seppa.2009.lpd",131,"Europe>Eastern Europe>Russian Federation","Europe>Eastern Europe>Russian Federation","Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,"Last nine-thousand years of temperature variability in northern Europe","Climate of the Past","LakeSediment",0,8997,"pollen",62,15,"this compilation"
"60",60,41,140.7667,"KT05_7_PC_02","KT05_7_PC_02.Kawahata.2009.lpd",-61,"Pacific Ocean>North Pacific Ocean>Sea Of Japan","Pacific Ocean>North Pacific Ocean>Sea Of Japan","Kawahata, Hodaka; Yamamoto, Hisashi; Ohkushi, Ken'ichi; Yokoyama, Yusuke; Kimoto, Katsunori; Ohshima, Hideki; Matsuzaki, Hiroyuki",2009,"Changes of environments and human activity at the Sannai-Maruyama ruins in Japan during the mid-Holocene Hypsithermal climatic interval","Quaternary Science Reviews","MarineSediment",914,10280,"alkenone",83,10,"10.1594/PANGAEA.705420"
